,Time,User,Tweet
122,2022-10-10 06:20:44,AJENews,BREAKING: Several loud explosions heard in Ukrainian capital https://t.co/eDTSK4aI3N https://t.co/vOfoYT5ggj
123,2022-10-07 09:08:52,AJENews,"BREAKING: Ukraine, Russia, Belarus rights activists win Nobel Peace Prize https://t.co/oLBwXAW0lE https://t.co/R6je4Pq2D9"
124,2022-10-03 09:45:24,AJENews,BREAKING: Swedish scientist Svante Paabo wins Nobel Prize for medicine https://t.co/GrbCa20v2Y https://t.co/ELHsDfYA2D
125,2022-09-30 20:25:09,AJENews,"Burkina Faso’s military leader Damiba deposed, army captain says https://t.co/lDQivOyNmf https://t.co/abYyaiMP0I"
126,2022-09-30 14:36:22,AJENews,BREAKING: Ukraine accelerates bid to join NATO after Russia’s annexation https://t.co/kYR5hn6cbA https://t.co/lWTg1j6ZFx
127,2022-09-30 09:21:23,AJENews,"DEVELOPING: Heavy gunfire, soldiers on the streets in Burkina Faso capital https://t.co/qCeTvp20j1 https://t.co/IRWVJPvPQQ"
128,2022-09-30 07:19:57,AJENews,"BREAKING: Russian attack kills 23 in civilian convoy in Ukraine,  governor says

https://t.co/OKc1W75V1m https://t.co/RrUJZgs30k"
129,2022-09-30 06:27:42,AJENews,BREAKING: Suicide attacker kills at least 19 in Afghanistan school blast https://t.co/qRMyRyezYe https://t.co/r4k31lnfrs
130,2022-09-25 21:13:43,AJENews,BREAKING: Italy’s right-wing alliance set for election victory: Exit polls https://t.co/bCsacWTKGJ https://t.co/itVGUgELjY
131,2022-09-23 14:38:46,AJENews,"RT @AJEnglish: Al Jazeera’s @AJIUnit has obtained the largest leak in British political history, exposing how unelected Labour Party offici…"
132,2022-09-23 11:28:12,AJENews,DEVELOPING: Casualties after blast near mosque in Afghanistan’s capital https://t.co/2QLwvWGpjp https://t.co/5GznkRvoXx
133,2022-09-21 16:01:50,AJENews,BREAKING: New York attorney general sues Donald Trump for fraud https://t.co/3SGlx7B34v https://t.co/wUA2fbAqOX
134,2022-09-18 08:55:15,AJENews,UPDATE: The Japan Meteorological Agency has lifted its Tsunami warning. https://t.co/VeFw3RveCt
135,2022-09-18 07:45:11,AJENews,BREAKING: Tsunami alert issued after major quake strikes off Taiwan https://t.co/VeFw3RveCt https://t.co/1Lym9p5z7m
136,2022-09-15 13:47:20,AJENews,BREAKING: Tennis great Roger Federer announces retirement https://t.co/i1X3s36FiE https://t.co/LLqv9xv0R6
137,2022-09-11 07:05:59,AJENews,DEVELOPING: Last reactor at Ukraine’s Zaporizhzhia nuclear plant shut down https://t.co/jyJp2xgXcG https://t.co/uAkGMI4S9y
138,2022-09-10 09:40:07,AJENews,BREAKING: Accession Council declares King Charles III sovereign https://t.co/2NsXl5Qitf https://t.co/JRJKhzj1fB
139,2022-09-08 17:49:20,AJENews,BREAKING: UK’s Queen Elizabeth II has died at the age of 96 https://t.co/9LlqaLQEve https://t.co/kqMNALzZoM
140,2022-09-08 11:55:24,AJENews,BREAKING: Doctors ‘concerned’ for health of Britain’s Queen Elizabeth https://t.co/zLZ85E9PD4 https://t.co/Kn6serkOgT
141,2022-09-05 13:07:34,AJENews,BREAKING: Israel says ‘high possibility’ its army killed Shireen Abu Akleh https://t.co/culAl0DivY https://t.co/knuAMvB0E2
142,2022-09-05 11:42:48,AJENews,"BREAKING: Liz Truss becomes UK’s new prime minister, Conservative leader https://t.co/Ly4uRK6Bz0 https://t.co/Qwm65lUWg0"
143,2022-09-05 10:47:58,AJENews,BREAKING: Kenya’s Supreme Court upholds Ruto’s win in presidential election https://t.co/fKoHCXTndZ https://t.co/3T6Z8F4RoD
144,2022-09-02 10:09:57,AJENews,"BREAKING: Explosion at Afghanistan mosque kills prominent cleric, civilians https://t.co/zvIgewmG0E https://t.co/BiyWwvBLct"
145,2022-09-01 06:42:47,AJENews,"BREAKING: Russia, Ukraine trade blame for attacks near nuclear plant amid UN visit https://t.co/zr36T0d2Tm https://t.co/Wzjm33Yecw"
146,2022-08-30 10:22:47,AJENews,BREAKING: Muqtada al-Sadr tells followers to leave Iraq Green Zone after night of violence https://t.co/JfFng3Buyr https://t.co/JaYMb6pTAD
147,2022-08-29 20:57:59,AJENews,BREAKING: Deadly clashes and chaos in Iraq after Moqtada al-Sadr quits. Follow live updates here: https://t.co/K76pDIFt8s https://t.co/27OVoIcPhL
148,2022-08-29 10:30:09,AJENews,BREAKING: Muqtada al-Sadr announces 'full withdrawal' from Iraqi politics after months of tensions https://t.co/GA37ni1IjV https://t.co/rI5ni7Lyfy
149,2022-08-23 08:39:13,AJENews,BREAKING: Malaysia top court upholds ex-PM Najib’s conviction in 1MDB case https://t.co/EaKXjzldwr https://t.co/swQkKlEgtX
150,2022-08-15 15:23:01,AJENews,BREAKING: William Ruto wins Kenyan presidential election https://t.co/FOEUR1Cd79 https://t.co/KE9tyqg9QI
151,2022-08-15 14:48:15,AJENews,BREAKING: Commotion at tally centre in Nairobi https://t.co/dX87nVdpJD https://t.co/3nM7ALAiHw
152,2022-08-15 12:40:54,AJENews,BREAKING: Uneasy calm in Kenya as results awaited in tight election https://t.co/dX87nVdpJD https://t.co/gEEyHfUpcA
153,2022-08-14 11:20:22,AJENews,"BREAKING: Explosion hits market in Armenia’s capital Yerevan, according to reports https://t.co/23nnAr5ozX https://t.co/iBSHIcuJmi"
154,2022-08-14 10:48:55,AJENews,"BREAKING: Several killed in Egyptian church fire, according to health ministry https://t.co/QEJKqjzwhB https://t.co/7GhtymSHAt"
155,2022-08-14 02:30:42,AJENews,Eight Israelis wounded after gunman opens fire in Jerusalem's Old City https://t.co/XCslLY7DKN https://t.co/Q8cPLmyfN6
156,2022-08-12 15:53:28,AJENews,BREAKING: Author Salman Rushdie attacked on stage in New York https://t.co/WM0249Pu3a https://t.co/LbD8vyYi7i
157,2022-08-11 10:22:31,AJENews,"BREAKING: Armed man holds Beirut bank staff hostage, demands savings amid Lebanon economic crisis https://t.co/GAZCE2pBgq https://t.co/K5Ugr2lLm3"
158,2022-08-08 13:01:55,AJENews,"RT @AJEnglish: A truce has been implemented between Israel and the Palestinian Islamic Jihad. 

Israel’s three-day bombardment of Gaza has…"
159,2022-08-08 06:52:00,AJENews,"BREAKING: Chad military gov’t, opposition groups sign peace deal in Qatar https://t.co/Q6cPJgPw9i https://t.co/XHy5mQqXja"
160,2022-08-07 20:14:03,AJENews,"BREAKING: Israel, Islamic Jihad announce ceasefire in Gaza https://t.co/XGU9VnmUFD https://t.co/5RqcVO5CSo"
161,2022-08-07 13:50:13,AJENews,BREAKING: Ceasefire expected to be announced in Gaza on Sunday https://t.co/XGU9VnmUFD https://t.co/SVnOMbvLyt
162,2022-08-07 07:23:49,AJENews,Russia-Ukraine live news: IAEA raises alarm over nuclear plant https://t.co/JKOQLCjXtH https://t.co/tdUYoRmQ2l
163,2022-08-07 07:21:42,AJENews,Israel-Palestine live news: 29 killed in three-day Gaza assault https://t.co/UtfO4sey7X https://t.co/uMJiaBYhL1
164,2022-08-06 19:08:29,AJENews,"BREAKING: Israeli strike on northern city of Jabalia kills 5 Palestinians, 3 of them children https://t.co/qu4u3K3BLt https://t.co/rg6QCty4Qb"
165,2022-08-06 06:32:43,AJENews,BREAKING: Israeli jets launch new attacks on Gaza https://t.co/7ORFpLJ9zq https://t.co/pDOUOrLPo5
166,2022-08-05 13:44:29,AJENews,BREAKING: Israel hits Gaza with air strikes as tensions escalate https://t.co/x8mjVs1UFU https://t.co/BtWJCc2jg1
167,2022-08-04 15:33:35,AJENews,BREAKING: Russian court gives Brittney Griner nine years on drugs charges https://t.co/heOEMsYSbo https://t.co/Jf1s0Z8Kz3
168,2022-08-03 08:12:40,AJENews,"RT @AJEnglish: Next week marks Kenya's presidential elections. As the race heats up, our Africa Editor @EromoEgbejule is joined by writer &amp;…"
